kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,289.0,,,,38.27803121781476,,,,,326.0,,5.0,
I,290.0,,,,149.67930654272283,,,,,327.0,,0.0,
I,291.0,,,,74.27386249322467,,,,,328.0,,1.0,
I,292.0,,,,172.67886723232144,,,,,329.0,,1.0,
I,293.0,,,,65.75930967448865,,,,,330.0,,2.0,
I,294.0,,,,90.89615200153851,,,,,331.0,,3.0,
I,295.0,,,,73.42912272081281,,,,,332.0,,2.0,
I,296.0,,,,40.53587506567052,,,,,333.0,,3.0,
I,297.0,,,,41.22095739493501,,,,,335.0,,1.0,
I,298.0,,,,143.6444600029717,,,,,337.0,,0.0,
I,299.0,,,,29.9422168317341,,,,,339.0,,5.0,
I,300.0,,,,22.213179722411173,,,,,340.0,,1.0,
I,301.0,,,,6.997503177929712,,,,,341.0,,3.0,
I,302.0,,,,88.01660095978436,,,,,342.0,,2.0,
I,303.0,,,,94.63043355589843,,,,,345.0,,2.0,
I,304.0,,,,76.6562921081229,,,,,346.0,,2.0,
I,305.0,,,,9.47174933004691,,,,,349.0,,1.0,
I,306.0,,,,444.1945572588567,,,,,350.0,,0.0,
I,307.0,,,,47.49441058457953,,,,,351.0,,2.0,
I,308.0,,,,30.61330851701355,,,,,352.0,,1.0,
I,309.0,,,,41.208190075851476,,,,,353.0,,1.0,
I,310.0,,,,31.60718470171689,,,,,354.0,,0.0,
I,311.0,,,,76.02325600975266,,,,,355.0,,0.0,
I,312.0,,,,111.9946081579807,,,,,356.0,,0.0,
I,313.0,,,,25.32244824837662,,,,,357.0,,3.0,
I,314.0,,,,94.69003425735688,,,,,358.0,,1.0,
I,315.0,,,,2.747748339511097,,,,,359.0,,0.0,
I,316.0,,,,114.45645836479568,,,,,360.0,,0.0,
I,317.0,,,,132.65277797099696,,,,,361.0,,0.0,
I,318.0,,,,20.777670771435,,,,,362.0,,1.0,
I,319.0,,,,128.86123055178527,,,,,363.0,,1.0,
I,320.0,,,,85.49792454118342,,,,,365.0,,3.0,
I,321.0,,,,39.33228499255766,,,,,366.0,,2.0,
I,322.0,,,,42.71373343977787,,,,,367.0,,2.0,
I,323.0,,,,49.302141904808614,,,,,368.0,,1.0,
I,324.0,,,,69.30170641841465,,,,,369.0,,3.0,
I,325.0,,,,169.165034203678,,,,,371.0,,1.0,
I,326.0,,,,169.15507351090363,,,,,372.0,,2.0,
I,327.0,,,,175.68088098617204,,,,,373.0,,1.0,
I,328.0,,,,1.363035378513066,,,,,374.0,,1.0,
I,329.0,,,,55.58123674680105,,,,,375.0,,0.0,
I,330.0,,,,35.4234530663288,,,,,377.0,,5.0,
I,331.0,,,,198.47450057578448,,,,,378.0,,4.0,
I,332.0,,,,57.438193467605544,,,,,379.0,,0.0,
I,333.0,,,,30.712876009538604,,,,,381.0,,3.0,
I,334.0,,,,76.44258138346284,,,,,383.0,,0.0,
I,335.0,,,,39.51741080712794,,,,,384.0,,2.0,
I,336.0,,,,42.542022036951714,,,,,386.0,,4.0,
I,337.0,,,,186.79017265251107,,,,,387.0,,1.0,
I,338.0,,,,42.316792999030596,,,,,388.0,,1.0,
I,339.0,,,,62.0669879263403,,,,,389.0,,1.0,
I,340.0,,,,111.36842729669117,,,,,390.0,,0.0,
I,341.0,,,,92.7173958336522,,,,,391.0,,1.0,
I,342.0,,,,83.9431372256616,,,,,392.0,,1.0,
I,343.0,,,,41.05874675431416,,,,,393.0,,4.0,
I,344.0,,,,14.39889060719738,,,,,394.0,,0.0,
I,345.0,,,,34.242311022666776,,,,,395.0,,3.0,
I,346.0,,,,52.25484832861689,,,,,396.0,,0.0,
I,347.0,,,,159.11355749182414,,,,,398.0,,1.0,
I,348.0,,,,113.64419517201662,,,,,399.0,,3.0,
I,349.0,,,,102.23765200972494,,,,,401.0,,0.0,
I,350.0,,,,182.88736665022546,,,,,403.0,,1.0,
I,351.0,,,,61.082015987665244,,,,,404.0,,0.0,
I,352.0,,,,49.44283016438557,,,,,405.0,,0.0,
I,353.0,,,,56.4426520152048,,,,,406.0,,2.0,
I,354.0,,,,106.20655731499028,,,,,407.0,,2.0,
